City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Dropoff Time,Distance (miles),Fare Amount,Fare Currency
493,UberX,COMPLETED,2020-12-22 10:47:26 +0000 UTC,2020-12-22 10:53:33 +0000 UTC,2020-12-22 10:59:40 +0000 UTC,1.61291505561403,7.08,BRL
493,UberX,COMPLETED,2020-12-19 21:15:15 +0000 UTC,2020-12-19 21:20:23 +0000 UTC,2020-12-19 21:27:22 +0000 UTC,1.65196866004655,8.17,BRL
493,UberX,CANCELED,2020-12-19 21:14:14 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0.0,0.0,BRL
493,UberX,COMPLETED,2020-12-12 15:32:09 +0000 UTC,2020-12-12 15:39:47 +0000 UTC,2020-12-12 15:44:30 +0000 UTC,0.69348739944503,5.65,BRL
493,UberX,COMPLETED,2020-12-12 15:19:06 +0000 UTC,2020-12-12 15:23:16 +0000 UTC,2020-12-12 15:28:15 +0000 UTC,1.15099342935105,5.16,BRL
493,UberX,COMPLETED,2020-12-08 19:20:31 +0000 UTC,2020-12-08 19:26:52 +0000 UTC,2020-12-08 19:35:45 +0000 UTC,1.51239980779909,6.94,BRL
493,UberX,COMPLETED,2020-12-08 15:08:03 +0000 UTC,2020-12-08 15:14:49 +0000 UTC,2020-12-08 15:23:57 +0000 UTC,2.50020191023447,9.75,BRL
493,UberEATS Marketplace,COMPLETED,2020-11-25 16:54:36 +0000 UTC,2020-11-25 17:25:07 +0000 UTC,2020-11-25 17:25:07 +0000 UTC,1.65241100555626,40.77,BRL
493,UberX,CANCELED,2020-11-23 01:26:54 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0.0,0.0,BRL
493,UberX,CANCELED,2020-11-21 22:10:34 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0.0,0.0,BRL
493,UberX,COMPLETED,2020-11-21 17:59:27 +0000 UTC,2020-11-21 18:07:02 +0000 UTC,2020-11-21 18:17:39 +0000 UTC,2.15067339279318,9.18,BRL
493,UberX,COMPLETED,2020-10-31 00:16:29 +0000 UTC,2020-10-31 00:24:43 +0000 UTC,2020-10-31 00:41:48 +0000 UTC,4.09799449765684,15.49,BRL
493,UberX,COMPLETED,2020-10-25 18:23:40 +0000 UTC,2020-10-25 18:31:24 +0000 UTC,2020-10-25 18:37:48 +0000 UTC,1.91409345460596,8.58,BRL
493,UberX,COMPLETED,2020-10-11 14:57:35 +0000 UTC,2020-10-11 15:05:40 +0000 UTC,2020-10-11 15:14:36 +0000 UTC,1.95630724342243,11.77,BRL
493,UberX,COMPLETED,2020-10-10 18:44:36 +0000 UTC,2020-10-10 18:51:06 +0000 UTC,2020-10-10 18:56:33 +0000 UTC,0.82894718409108,7.75,BRL
493,UberX,COMPLETED,2020-10-10 17:03:13 +0000 UTC,2020-10-10 17:09:14 +0000 UTC,2020-10-10 17:17:33 +0000 UTC,1.90318546181879,8.08,BRL
493,Flash,COMPLETED,2020-09-27 20:32:16 +0000 UTC,2020-09-27 20:36:46 +0000 UTC,2020-09-27 20:39:34 +0000 UTC,0.54099230356305,6.35,BRL
493,UberX,COMPLETED,2020-08-31 20:29:11 +0000 UTC,2020-08-31 20:44:32 +0000 UTC,2020-08-31 20:47:16 +0000 UTC,1.20680598885518,8.23,BRL
493,UberX,COMPLETED,2020-06-03 18:03:27 +0000 UTC,2020-06-03 18:07:50 +0000 UTC,2020-06-03 18:14:39 +0000 UTC,1.34943400368943,6.09,BRL
